Países,Código NCM,Descrição NCM,Unidade estatística,Ano,Valor_FOB_USD,Peso_Kg,Quantidade
Nova Zelândia,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Estados Unidos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,74268961,121196186,119801
Colômbia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,25284086,47577000,47577
Tailândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,1213,268,0
Canadá,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,10395573,16035035,15321
China,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,2797916,5766953,5734
Marrocos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,4462618,9426057,9418
Malásia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,36,0,0
França,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,4459099,7281191,7194
Alemanha,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,379071,601599,2002
Reino Unido,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,920882,1492636,1378
Itália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,2363715,4112287,5143
Nova Zelândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,302893,463325,453
Reino Unido,22072019,Outro álcool etílico desnaturado,LITRO,2022,161656,116122,144060
Austrália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,249832,362920,361
Alemanha,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,373885,200370,200
Filipinas,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,131507,172955,164
Suécia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,33026,49500,40
Canadá,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,6,6,0
Índia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,105,70,0
Nova Zelândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,5064,2160,2
Reino Unido,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,107,75,5
Estados Unidos,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,49726,22123,24
Dinamarca,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,867794,1365151,1382
